Continent,Country,HDIRank,HDI,Life Expectancy,Mean Years of Schooling,Gross national income (GNI) per capita,Life Expectancy At Birth Female,Life Expectancy At Birth Male,Mean Years Of Schooling Female,Mean Years Of Schooling Male,Estimated Gross Nationa Income Per CapitaFemale,Estimated Gross Nationa Income Per Capita Male,Share Of Seats In Parliament Women,Population Secondary Education Female,Population Secondary Education Male,Total Population,Population Under Age 5,Population Age 15-64,Population Ages 65 and older (millions) 2015,Population Median Age,Mortality Rates Infant,Mortality Rates Under-five,Deaths Due To Tuberculosis,Physicians,Public Health Expenditure,Employment To Population Ratio,Labour Force Participation Rate,Total Unemployment,Mandatory Paid Maternity Leave ,Internet Users
Africa,Niger,187,0.353,61.9,1.7,889,62.9,61.1,1.1,2.3,481,1292,13.3,3.6,8.4,19.89999962,4.1,9.300000191,0.5,14.8,57.1,95.5,18,0.2,3.2,62.9,64.7,2.8,98,2.2
Asia,Philippines,116,0.682,68.3,9.3,8395,71.9,65,9.5,9.2,6845,9917,27.1,72.8,70.3,100.6999969,11.3,63.90000153,4.6,24.2,22.2,28,10,11.5,1.6,60.4,64.7,6.7,60,40.7
South America,Venezuela,71,0.767,74.4,9.4,15129,78.6,70.4,9.7,9,11579,18709,17,72.6,65,31.10000038,3,20.39999962,2,27.4,12.9,14.9,1.8,19.4,1.5,59.5,64.7,8,182,61.9
North America,Jamaica,94,0.73,75.8,9.6,8350,78.2,73.5,9.7,9.6,6628,10086,16.7,67.1,59.4,2.799999952,0.2,1.899999976,0.3,29.1,13.5,15.7,0.3,4.1,2.8,56,64.8,13.7,56,43.2
Europe,Norway,1,0.949,81.7,12.7,67614,83.7,79.7,12.8,12.7,59800,75314,39.6,96.1,94.6,5.199999809,0.3,3.400000095,0.9,39.1,2,2.6,0.2,42.8,8.3,62.2,64.9,4.1,,96.8
Asia,Azerbaijan,78,0.759,70.9,11.2,16413,74.1,67.8,10.3,12,11029,21845,16.9,93.9,97.5,9.800000191,0.9,7.099999905,0.5,30.9,27.9,31.7,0.4,34,1.2,61.9,65,4.7,126,77
North America,Dominican Republic,99,0.722,73.7,7.7,12756,76.9,70.6,7.9,7.5,9281,16256,19.1,57.2,55.5,10.5,1.1,6.699999809,0.7,26.1,25.7,30.9,3.9,14.9,2.9,55.9,65.3,14.4,84,51.9
South America,Uruguay,54,0.795,77.4,8.6,19148,80.8,73.7,8.8,8.3,14608,24014,19.2,55,51.6,3.400000095,0.2,2.200000048,0.5,34.9,8.7,10.1,1.7,37.4,6.1,60.6,65.3,7.3,98,64.6
North America,Panama,60,0.788,77.8,9.9,19470,80.9,74.8,10.3,9.5,14550,24365,18.3,70.1,66.1,3.900000095,0.4,2.599999905,0.3,28.7,14.6,17,5.5,16.5,5.9,62,65.4,5.2,98,51.2
North America,Canada,10,0.92,82.2,13.1,42582,84.1,80.2,13.3,12.9,33288,52026,28.3,100,100,35.90000153,1.9,,5.8,40.6,4.3,4.9,0.2,20.7,7.4,61,65.6,6.9,105,88.5
North America,Honduras,130,0.625,73.3,6.2,4466,75.9,70.9,6.2,6.1,2680,6254,25.8,33.4,31.1,8.100000382,0.8,5.099999905,0.4,23.4,17.4,20.4,1,3.7,4.4,63.1,65.6,3.9,84,20.4
Africa,Mali,175,0.442,58.5,2.3,2218,58.3,58.6,1.7,3,1349,3071,8.8,7.3,16.2,17.60000038,3.3,8.800000191,0.4,16.2,74.5,114.7,11,0.8,1.6,60.6,66.2,8.5,98,10.3
North America,Barbados,54,0.795,75.8,10.5,14952,78.1,73.3,10.6,10.3,11801,18377,19.6,93,90.6,0.300000012,0,0.200000003,0,38.5,12,13,0,18.1,4.7,58.2,66.3,12.3,84,76.1
North America,Haiti,163,0.493,63.1,5.2,1657,65.3,61,3.9,6.6,1370,1950,3.5,25.7,38.7,10.69999981,1.2,6.599999905,0.5,23,52.2,69,20,,1.6,61.7,66.3,6.9,42,12.2
Asia,Bhutan,132,0.607,69.9,3.1,7081,70.1,69.6,2.1,4.2,5657,8308,8.3,5.8,13.4,0.800000012,0.1,0.5,0,26.7,27.2,32.9,9.5,2.6,2.6,64.7,66.4,2.6,56,39.8
Africa,Lesotho,160,0.497,50.1,6.1,3319,50,49.9,7,5.3,2631,4020,24.8,23.6,22.5,2.099999905,0.3,1.299999952,0.1,21,69.2,90.2,64,0.5,8.1,48.1,66.4,27.5,84,16.1
North America,Saint Vincent and the Grenadines,99,0.722,73,8.6,10372,75.2,71,,,7600,13095,13,,,0.100000002,0,0.100000002,0,29.8,16.6,18.3,1,5.3,4.4,53.5,66.8,20,91,51.8
